Name,Assigned Male,Year,Assigned Female,Total
Marek,1.0,1974,,1.0
Marcos,1.0,1974,,1.0
Marcello,1.0,1974,,1.0
Wing,1.0,1974,,1.0
Winston,1.0,1974,,1.0
Sajida,,1974,1.0,1.0
Sally-Anne,,1974,1.0,1.0
Sameena,,1974,1.0,1.0
Samera,,1974,1.0,1.0
Sangeeta,,1974,1.0,1.0
Saphire,,1974,1.0,1.0
Sara-Jane,,1974,1.0,1.0
Sara-Louise,,1974,1.0,1.0
Sarah-Louise,,1974,1.0,1.0
Sarra,,1974,1.0,1.0
Sairah,,1974,1.0,1.0
Roxanne,,1974,1.0,1.0
Rozanne,,1974,1.0,1.0
Rubina,,1974,1.0,1.0
Saara,,1974,1.0,1.0
Sabrina,,1974,1.0,1.0
Sadia,,1974,1.0,1.0
Safia,,1974,1.0,1.0
Safiya,,1974,1.0,1.0
Sahar,,1974,1.0,1.0
Sabina,,1974,1.0,1.0
Saskia,,1974,1.0,1.0
Sau,,1974,1.0,1.0
Savannah,,1974,1.0,1.0
Shan,,1974,1.0,1.0
Shannon,,1974,1.0,1.0
Sharyn,,1974,1.0,1.0
Shelby,,1974,1.0,1.0
Shellie,,1974,1.0,1.0
Shelly,,1974,1.0,1.0
Seana,,1974,1.0,1.0
Seona,,1974,1.0,1.0
Seonad,,1974,1.0,1.0
Roslynn,,1974,1.0,1.0
Rosie,,1974,1.0,1.0
Parisa,,1974,1.0,1.0
Peri,,1974,1.0,1.0
Philomena,,1974,1.0,1.0
Pippa,,1974,1.0,1.0
Pollyanna,,1974,1.0,1.0
Priscilla,,1974,1.0,1.0
Priya,,1974,1.0,1.0
Paola,,1974,1.0,1.0
Pamala,,1974,1.0,1.0
Nosheen,,1974,1.0,1.0
Nova,,1974,1.0,1.0
Odette,,1974,1.0,1.0
Pui,,1974,1.0,1.0
Oi,,1974,1.0,1.0
Olive,,1974,1.0,1.0
Olwyn,,1974,1.0,1.0
Oonagh,,1974,1.0,1.0
Orla,,1974,1.0,1.0
Oisin,,1974,1.0,1.0
Rochelle,,1974,1.0,1.0
Roma,,1974,1.0,1.0
Rhiannon,,1974,1.0,1.0
Rosalie,,1974,1.0,1.0
Rosaline,,1974,1.0,1.0
Rosalynd,,1974,1.0,1.0
Rosalynn,,1974,1.0,1.0
Roselyn,,1974,1.0,1.0
Rosheen,,1974,1.0,1.0
Roslin,,1974,1.0,1.0
Rabia,,1974,1.0,1.0
Radha,,1974,1.0,1.0
Raechel,,1974,1.0,1.0
Raina,,1974,1.0,1.0
Ramona,,1974,1.0,1.0
Reema,,1974,1.0,1.0
Regan,,1974,1.0,1.0
Rehana,,1974,1.0,1.0
Jardine,1.0,1974,,1.0
Shenaz,,1974,1.0,1.0
Virginia,,1974,1.0,1.0
Xanthe,,1974,1.0,1.0
Xenia,,1974,1.0,1.0
Yael,,1974,1.0,1.0
Yee,,1974,1.0,1.0
Zahida,,1974,1.0,1.0
Viki,,1974,1.0,1.0
Tracy-Ann,,1974,1.0,1.0
Tyla,,1974,1.0,1.0
Vanya,,1974,1.0,1.0
Varri,,1974,1.0,1.0
Venus,,1974,1.0,1.0
Zeeshan,1.0,1974,,1.0
Zander,1.0,1974,,1.0
Zakary,1.0,1974,,1.0
Zain,1.0,1974,,1.0
Zahid,1.0,1974,,1.0
Zack,1.0,1974,,1.0
Yun,1.0,1974,,1.0
Yuk,1.0,1974,1.0,2.0
Zen,1.0,1974,,1.0
Yazan,1.0,1974,,1.0
Yasser,1.0,1974,,1.0
Yasir,1.0,1974,,1.0
Yaser,1.0,1974,,1.0
Xavier,1.0,1974,,1.0
Zeenat,,1974,1.0,1.0
Zi,1.0,1974,,1.0
Zohra,,1974,1.0,1.0
Zoie,,1974,1.0,1.0
Jayson,2.0,1974,,2.0
Greg,26.0,1974,,26.0
Zowie,1.0,1974,,1.0
Zita,,1974,1.0,1.0
Silvia,,1974,1.0,1.0
Simonne,,1974,1.0,1.0
Simran,,1974,1.0,1.0
Sindy,,1974,1.0,1.0
Siobhann,,1974,1.0,1.0
Sky,,1974,1.0,1.0
Skye,,1974,1.0,1.0
Soha,,1974,1.0,1.0
Silvana,,1974,1.0,1.0
Sigrid,,1974,1.0,1.0
Sherree,,1974,1.0,1.0
Sherrie,,1974,1.0,1.0
Shirley-Ann,,1974,1.0,1.0
Shivonne,,1974,1.0,1.0
